concept_code,target_concept_code,concept_tier,target_tier,n11,n10,n01,n00,support_both,odds_ratio,log_odds_ratio,phi,p_target_given_code,p_target_given_no_code,n_code_before_target_final,n_target_before_code_final
30183-states_specify-45,31405-skipped_why-4,2,2,1,0,613,57,0.0014903129657228018,0.28117359413202936,-1.2687830276795515,0.01177106725030452,1.0,0.9149253731343283,0,613
30183-states_specify-45,31405-skipped_why-5,2,2,0,1,11,659,0.0,19.115942028985508,2.9505226481200553,-0.004987546680538164,0.0,0.016417910447761194,1,11
30183-states_specify-45,32588-Symptoms_Ill_1,2,2,0,2,13,711,0.0,10.540740740740741,2.355247819651423,-0.007096964387698385,0.0,0.017955801104972375,2,13
30183-states_specify-45,32589-Symptoms_Ill_2,2,2,0,2,0,724,0.0,289.8,5.669191029886582,,0.0,0.0,2,0
30183-states_specify-45,32590-Symptoms_Ill_3,2,2,0,2,24,700,0.0,5.718367346938775,1.74368333579228,-0.009718131682188694,0.0,0.03314917127071823,2,24
30183-states_specify-45,32591-Symptoms_Ill_4,2,2,0,2,7,717,0.0,19.133333333333333,2.951432014657411,-0.005185973456148796,0.0,0.009668508287292817,2,7
30183-states_specify-45,32592-Symptoms_Ill_5,2,2,0,2,27,697,0.0,5.072727272727272,1.6238785965888947,-0.010329730925835678,0.0,0.03729281767955801,2,27
30183-states_specify-45,32593-Symptoms_Ill_6,2,2,0,2,80,644,0.0,1.6012422360248446,0.47077972552062397,-0.01849585658303303,0.0,0.11049723756906077,2,80
30183-states_specify-45,32594-Symptoms_Ill_7,2,2,0,2,43,681,0.0,3.1333333333333333,1.1420974006078486,-0.013187716143503052,0.0,0.05939226519337017,2,43
30183-states_specify-45,32595-Symptoms_Ill_8,2,2,0,2,20,704,0.0,6.873170731707317,1.927625532760272,-0.008846232755948865,0.0,0.027624309392265192,2,20
30183-states_specify-45,32596-Symptoms_Ill_9,2,2,0,2,15,709,0.0,9.154838709677419,2.214282560240796,-0.007634077137346471,0.0,0.020718232044198894,2,15
30183-states_specify-45,32597-Symptoms_Ill_10,2,2,0,2,90,634,0.0,1.4022099447513812,0.3380495240144615,-0.019771445029885662,0.0,0.12430939226519337,2,90
